sweep,phi,x_h2_energy,T0_K,p0_bar,tau_ign_ms
T,0.7,0.0,900.0,20.0,294.37188981467057
T,0.7,0.0,950.0,20.0,96.98781638375596
T,0.7,0.0,1000.0,20.0,36.441980437556715
T,0.7,0.0,1050.0,20.0,15.293148876822425
T,0.7,0.0,1100.0,20.0,7.039338475481406
T,0.7,0.0,1150.0,20.0,3.4942509414352165
T,0.7,0.0,1200.0,20.0,1.8417731744593369
T,0.7,0.0,1250.0,20.0,1.0175853709218028
T,0.7,0.0,1300.0,20.0,0.5838505603946943
T,0.7,0.0,1350.0,20.0,0.34558041290865565
T,0.7,0.0,1400.0,20.0,0.21000129618020544
T,0.7,0.3,900.0,20.0,121.24220171288378
T,0.7,0.3,950.0,20.0,32.24109482063354
T,0.7,0.3,1000.0,20.0,9.771185295245616
T,0.7,0.3,1050.0,20.0,3.2709545322126803
T,0.7,0.3,1100.0,20.0,1.1814638064174914
T,0.7,0.3,1150.0,20.0,0.4540230397746357
T,0.7,0.3,1200.0,20.0,0.18530332911402236
T,0.7,0.3,1250.0,20.0,0.08236321514184798
T,0.7,0.3,1300.0,20.0,0.04127697347629968
T,0.7,0.3,1350.0,20.0,0.023418363324836745
T,0.7,0.3,1400.0,20.0,0.014797499760886795
T,0.7,0.6,900.0,20.0,101.04511356898111
T,0.7,0.6,950.0,20.0,27.228081932013605
T,0.7,0.6,1000.0,20.0,8.327021980458884
T,0.7,0.6,1050.0,20.0,2.802685183998122
T,0.7,0.6,1100.0,20.0,1.0113669194990704
T,0.7,0.6,1150.0,20.0,0.3819964907766217
T,0.7,0.6,1200.0,20.0,0.1474819040523749
T,0.7,0.6,1250.0,20.0,0.056957386409934356
T,0.7,0.6,1300.0,20.0,0.022305122972691604
T,0.7,0.6,1350.0,20.0,0.00986963137744093
T,0.7,0.6,1400.0,20.0,0.005256840916463908
T,0.7,1.0,900.0,20.0,79.98797298885748
T,0.7,1.0,950.0,20.0,21.91787349959117
T,0.7,1.0,1000.0,20.0,6.817623178562545
T,0.7,1.0,1050.0,20.0,2.3345110444715713
T,0.7,1.0,1100.0,20.0,0.8558401385889284
T,0.7,1.0,1150.0,20.0,0.32685792189463375
T,0.7,1.0,1200.0,20.0,0.12569491193954846
T,0.7,1.0,1250.0,20.0,0.04606380774040548
T,0.7,1.0,1300.0,20.0,0.014426538367898888
T,0.7,1.0,1350.0,20.0,0.004022463799848005
T,0.7,1.0,1400.0,20.0,0.0018915760633846698
p,0.7,0.0,1100.0,1.0,167.23508661115122
p,0.7,0.0,1100.0,2.0,84.58382421350349
p,0.7,0.0,1100.0,5.0,31.708900936472606
p,0.7,0.0,1100.0,10.0,14.746503609414143
p,0.7,0.0,1100.0,20.0,7.039338475481406
p,0.7,0.0,1100.0,40.0,3.5159096871897426
p,0.7,0.3,1100.0,1.0,1.022381110739254
p,0.7,0.3,1100.0,2.0,0.7248564053816489
p,0.7,0.3,1100.0,5.0,0.9027120067618439
p,0.7,0.3,1100.0,10.0,1.2706000052331157
p,0.7,0.3,1100.0,20.0,1.1814638064174914
p,0.7,0.3,1100.0,40.0,0.9042830910052112
p,0.7,0.6,1100.0,1.0,0.2203937270857458
p,0.7,0.6,1100.0,2.0,0.18265315608007693
p,0.7,0.6,1100.0,5.0,0.5895900914405126
p,0.7,0.6,1100.0,10.0,1.0961329782998757
p,0.7,0.6,1100.0,20.0,1.0113669194990704
p,0.7,0.6,1100.0,40.0,0.7677763485457136
p,0.7,1.0,1100.0,1.0,0.08676413092832792
p,0.7,1.0,1100.0,2.0,0.05914379189122407
p,0.7,1.0,1100.0,5.0,0.5240164368393402
p,0.7,1.0,1100.0,10.0,0.9642793138753268
p,0.7,1.0,1100.0,20.0,0.8558401385889284
p,0.7,1.0,1100.0,40.0,0.6345930540148852
h2,0.7,0.0,1100.0,20.0,7.039338475481406
h2,0.7,0.1,1100.0,20.0,1.4859784335260158
h2,0.7,0.2,1100.0,20.0,1.2736146395946206
h2,0.7,0.30000000000000004,1100.0,20.0,1.1814638064174914
h2,0.7,0.4,1100.0,20.0,1.1155917342915365
h2,0.7,0.5,1100.0,20.0,1.0603348210848613
h2,0.7,0.6000000000000001,1100.0,20.0,1.0113669194990704
h2,0.7,0.7000000000000001,1100.0,20.0,0.9671921504621148
h2,0.7,0.8,1100.0,20.0,0.9267522775393983
h2,0.7,0.9,1100.0,20.0,0.8898501042709408
h2,0.7,1.0,1100.0,20.0,0.8558401385889284
