mechanism,phi,T0_K,p0_bar,S_L_cm_s
GRI-Mech 3.0,0.6,450.0,5.0,98.7426659175917
GRI-Mech 3.0,0.7333333333333333,450.0,5.0,199.34414197588652
GRI-Mech 3.0,0.8666666666666667,450.0,5.0,306.98998454378204
GRI-Mech 3.0,1.0,450.0,5.0,399.7787653698478
GRI-Mech 3.0,1.1333333333333333,450.0,5.0,469.63993126538594
GRI-Mech 3.0,1.2666666666666666,450.0,5.0,518.5947191568026
GRI-Mech 3.0,1.4,450.0,5.0,549.209440623686
h2o2 (detailed H2/O2),0.6,450.0,5.0,95.57404221902448
h2o2 (detailed H2/O2),0.7333333333333333,450.0,5.0,198.1717695051699
h2o2 (detailed H2/O2),0.8666666666666667,450.0,5.0,306.7916942327993
h2o2 (detailed H2/O2),1.0,450.0,5.0,399.78503185562056
h2o2 (detailed H2/O2),1.1333333333333333,450.0,5.0,469.72021331651786
h2o2 (detailed H2/O2),1.2666666666666666,450.0,5.0,518.5560465223831
h2o2 (detailed H2/O2),1.4,450.0,5.0,549.3641933088895
