mechanism,phi,T0_K,p0_bar,tau_ign_ms
GRI-Mech 3.0,1.0,900.0,20.0,65.9202964018272
GRI-Mech 3.0,1.0,962.5,20.0,13.429127063713125
GRI-Mech 3.0,1.0,1025.0,20.0,3.3032593205593415
GRI-Mech 3.0,1.0,1087.5,20.0,0.9260569491388112
GRI-Mech 3.0,1.0,1150.0,20.0,0.2804552139462203
GRI-Mech 3.0,1.0,1212.5,20.0,0.08612112573796718
GRI-Mech 3.0,1.0,1275.0,20.0,0.024094743595756186
GRI-Mech 3.0,1.0,1337.5,20.0,0.00539574398908147
GRI-Mech 3.0,1.0,1400.0,20.0,0.0018690265822161939
h2o2 (detailed H2/O2),1.0,900.0,20.0,65.92026314607513
h2o2 (detailed H2/O2),1.0,962.5,20.0,13.429105116478773
h2o2 (detailed H2/O2),1.0,1025.0,20.0,3.303228349334964
h2o2 (detailed H2/O2),1.0,1087.5,20.0,0.926052894518058
h2o2 (detailed H2/O2),1.0,1150.0,20.0,0.28042899379784386
h2o2 (detailed H2/O2),1.0,1212.5,20.0,0.08611961095100179
h2o2 (detailed H2/O2),1.0,1275.0,20.0,0.02407834303690437
h2o2 (detailed H2/O2),1.0,1337.5,20.0,0.005391909017567845
h2o2 (detailed H2/O2),1.0,1400.0,20.0,0.0018693690777043146
